PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS
Tyler Herro,MIA,23.0,67,37,30,0.552,34.9,7.3,16.6,0.439,3.0,8.0,0.378,2.5,2.7,0.934,0.4,5.0,5.4,4.2,2.4,0.8,0.2,0.8,1.5,1.9,20.1,2.5
Tyrese Haliburton,IND,23.0,56,28,28,0.5,33.6,7.4,15.0,0.49,2.9,7.2,0.4,3.1,3.6,0.871,0.6,3.1,3.7,10.4,2.5,1.6,0.4,0.8,1.2,2.8,20.7,-0.6
Tyrese Martin,ATL,24.0,16,10,6,0.625,4.1,0.6,1.4,0.391,0.1,0.4,0.143,0.1,0.1,1.0,0.3,0.4,0.8,0.1,0.1,0.1,0.0,0.1,0.1,0.1,1.3,0.1
Tyrese Maxey,PHI,22.0,60,39,21,0.65,33.6,7.3,15.2,0.481,2.7,6.2,0.434,3.0,3.6,0.845,0.4,2.6,2.9,3.5,1.3,0.8,0.1,0.6,2.2,2.7,20.3,4.0
Tyus Jones,MEM,27.0,80,51,29,0.638,24.2,3.9,8.9,0.438,1.5,4.1,0.371,1.0,1.2,0.806,0.4,2.2,2.5,5.2,0.9,1.0,0.1,0.2,0.4,1.0,10.3,1.2
Udoka Azubuike,UTA,23.0,36,17,19,0.472,10.0,1.6,2.0,0.819,0.0,0.0,0.0,0.2,0.6,0.35,0.9,2.4,3.3,0.3,0.5,0.2,0.4,0.1,0.9,0.5,3.5,-2.3
Udonis Haslem,MIA,43.0,7,4,3,0.571,10.3,1.4,4.1,0.345,0.4,1.3,0.333,0.6,0.7,0.8,0.6,1.0,1.6,0.0,0.1,0.1,0.3,0.0,1.6,1.4,3.9,-3.6
Usman Garuba,HOU,21.0,75,21,54,0.28,12.9,1.1,2.4,0.486,0.3,0.8,0.407,0.4,0.6,0.617,1.6,2.5,4.1,0.9,0.6,0.6,0.4,0.3,1.8,0.6,3.0,-3.4
Vernon Carey Jr.,UTA,22.0,11,8,3,0.727,2.6,0.2,0.7,0.25,0.0,0.0,0.0,0.2,0.2,1.0,0.3,0.7,1.0,0.3,0.2,0.2,0.2,0.1,0.5,0.1,0.5,-0.9
Victor Oladipo,MIA,31.0,42,23,19,0.548,26.3,3.8,9.6,0.397,1.7,5.0,0.33,1.4,1.9,0.747,0.4,2.7,3.0,3.5,2.1,1.4,0.3,0.4,2.4,1.6,10.7,-0.8
Vince Williams Jr.,MEM,22.0,15,7,8,0.467,7.0,0.8,2.7,0.3,0.3,1.9,0.143,0.1,0.1,1.0,0.3,0.7,1.0,0.3,0.3,0.4,0.1,0.1,0.8,0.2,2.0,-2.3
Vit Krejci,ATL,23.0,29,15,14,0.517,5.7,0.5,1.3,0.405,0.2,0.7,0.238,0.0,0.1,0.5,0.2,0.7,0.9,0.6,0.2,0.2,0.0,0.1,0.6,0.0,1.2,-0.1
Vlatko Cancar,DEN,26.0,60,38,22,0.633,14.8,1.8,3.8,0.476,0.7,1.9,0.374,0.6,0.7,0.927,0.4,1.7,2.1,1.3,0.6,0.4,0.2,0.2,1.4,0.8,5.0,-1.1
Walker Kessler,UTA,21.0,74,34,40,0.459,23.0,4.0,5.6,0.72,0.0,0.0,0.333,1.1,2.1,0.516,3.1,5.3,8.4,0.9,0.8,0.4,2.3,0.5,2.3,1.7,9.2,1.0
Wendell Carter Jr.,ORL,24.0,57,26,31,0.456,29.6,5.6,10.8,0.525,1.4,3.9,0.356,2.5,3.4,0.738,2.1,6.6,8.7,2.3,1.9,0.5,0.6,0.3,2.8,2.9,15.2,-0.7
Wendell Moore Jr.,MIN,21.0,29,16,13,0.552,5.3,0.6,1.5,0.419,0.1,0.6,0.118,0.1,0.2,0.8,0.1,0.5,0.6,0.6,0.3,0.3,0.2,0.1,0.4,0.2,1.4,-1.8
Wenyen Gabriel,LAL,26.0,68,37,31,0.544,15.1,2.3,3.8,0.596,0.1,0.5,0.278,0.8,1.2,0.619,1.7,2.5,4.2,0.5,0.7,0.4,0.5,0.3,2.1,1.3,5.5,-0.5
Wesley Matthews,MIL,36.0,52,37,15,0.712,15.8,1.1,3.1,0.363,0.8,2.4,0.315,0.5,0.5,0.857,0.7,1.5,2.2,0.7,0.3,0.4,0.3,0.0,1.4,0.6,3.4,1.0
Will Barton,TOR,32.0,56,27,29,0.482,17.7,2.5,6.5,0.379,1.2,3.2,0.367,0.7,0.8,0.787,0.3,2.2,2.4,2.0,0.9,0.5,0.2,0.4,1.0,0.6,6.8,-3.0
Willy Hernangomez,NOP,29.0,38,23,15,0.605,12.0,2.3,4.4,0.527,0.1,0.3,0.273,2.1,2.7,0.779,1.5,3.2,4.7,0.9,1.0,0.4,0.3,0.5,1.7,2.2,6.9,0.5
Xavier Cooks,WAS,27.0,10,2,8,0.2,12.6,1.7,2.8,0.607,0.0,0.1,0.0,0.4,1.0,0.4,1.6,2.2,3.8,0.6,0.8,0.6,0.4,0.3,1.3,0.9,3.8,1.9
Xavier Moon,LAC,28.0,4,2,2,0.5,4.9,0.8,2.3,0.333,0.3,0.8,0.333,0.0,0.0,0.0,0.0,0.8,0.8,1.3,0.3,0.0,0.0,0.0,0.5,0.0,1.8,0.8
Xavier Sneed,CHA,25.0,4,0,4,0.0,12.1,1.3,2.5,0.5,0.8,1.5,0.5,1.0,1.0,1.0,0.0,1.3,1.3,1.3,0.8,0.0,0.3,0.3,1.8,0.8,4.3,-7.0
Xavier Tillman,MEM,24.0,61,40,21,0.656,19.3,3.1,5.0,0.614,0.1,0.2,0.267,0.8,1.5,0.551,2.0,3.0,5.0,1.6,0.7,1.0,0.5,0.6,1.6,1.2,7.0,0.0
Yuta Watanabe,BKN,28.0,58,30,28,0.517,16.0,2.0,4.0,0.491,1.0,2.3,0.444,0.6,0.8,0.723,0.5,1.9,2.4,0.8,0.4,0.4,0.3,0.2,1.4,0.7,5.6,-0.1
Zach Collins,SAS,25.0,63,20,43,0.317,22.9,4.5,8.7,0.518,0.9,2.3,0.374,1.7,2.3,0.761,1.8,4.5,6.4,2.9,2.0,0.6,0.8,0.6,3.2,2.3,11.6,-3.8
Zach LaVine,CHI,28.0,77,38,39,0.494,35.9,8.7,18.0,0.485,2.6,7.1,0.375,4.7,5.6,0.848,0.5,3.9,4.5,4.2,2.5,0.9,0.2,1.0,2.1,3.8,24.8,0.2
Zeke Nnaji,DEN,22.0,53,34,19,0.642,13.7,2.1,3.7,0.561,0.3,1.2,0.262,0.8,1.2,0.645,1.2,1.4,2.6,0.3,0.6,0.3,0.4,0.2,2.0,1.2,5.2,-1.8
Ziaire Williams,MEM,21.0,37,21,16,0.568,15.2,2.3,5.3,0.429,0.7,2.6,0.258,0.5,0.6,0.773,0.4,1.7,2.1,0.9,1.0,0.4,0.2,0.1,1.6,0.9,5.7,-2.1
Zion Williamson,NOP,22.0,29,17,12,0.586,33.0,9.8,16.2,0.608,0.2,0.7,0.368,6.1,8.6,0.714,2.0,5.0,7.0,4.6,3.4,1.1,0.6,1.5,2.2,6.4,26.0,5.1
